Port,"Last Change",Name,"VLAN Membership","Node MAC","Archived Node","Node IP","Node DNS","Archived IP","Neighbor IP","Neighbor DNS","Port Setting","Port Status"
FastEthernet0/1,"2020-11-02 07:45:54",Fa0/1,425,,,,,,,,Up,Down
FastEthernet0/2,"2020-11-02 07:45:54",Fa0/2,425,,,,,,,,Up,Down
FastEthernet0/3,"2020-11-02 07:45:54",Fa0/3,425,,,,,,,,Up,Down
FastEthernet0/4,"2020-11-02 07:45:54",Fa0/4,425,,,,,,,,Up,Down
FastEthernet0/5,"2020-11-02 07:45:54",Fa0/5,425,,,,,,,,Up,Down
FastEthernet0/6,"2020-11-02 07:45:54",Fa0/6,425,,,,,,,,Up,Down
FastEthernet0/7,"2020-11-02 07:45:54",Fa0/7,425,,,,,,,,Up,Down
FastEthernet0/8,"2020-11-02 07:45:54",Fa0/8,425,,,,,,,,Up,Down
FastEthernet0/9,"2020-11-02 07:45:54",Fa0/9,425,,,,,,,,Up,Down
FastEthernet0/10,"2020-11-02 07:45:54",Fa0/10,425,,,,,,,,Up,Down
FastEthernet0/11,"2020-11-02 07:45:54",Fa0/11,425,,,,,,,,Up,Down
FastEthernet0/12,"2020-11-02 07:45:54",Fa0/12,425,,,,,,,,Up,Down
FastEthernet0/13,"2020-11-02 07:45:54",Fa0/13,401,,,,,,,,Up,Down
FastEthernet0/14,"2020-11-02 07:45:54",Fa0/14,401,,,,,,,,Up,Down
FastEthernet0/15,"2020-11-02 07:45:54",Fa0/15,401,,,,,,,,Up,Down
FastEthernet0/16,"2020-11-02 07:45:54",Fa0/16,401,,,,,,,,Up,Down
FastEthernet0/17,"2020-11-02 07:45:54",Fa0/17,401,,,,,,,,Up,Down
FastEthernet0/18,"2020-11-02 07:45:54",Fa0/18,401,,,,,,,,Up,Down
FastEthernet0/19,"2020-11-02 07:45:54",Fa0/19,401,,,,,,,,Up,Down
FastEthernet0/20,"2020-11-02 07:45:57",Fa0/20,401,,,,,,,,Up,Up
FastEthernet0/21,"2020-11-02 07:45:54",Fa0/21,401,,,,,,,,Up,Down
FastEthernet0/22,"2020-11-24 15:55:26",Fa0/22,401,,,,,,,,Up,Down
FastEthernet0/23,"2020-12-11 13:00:54",Fa0/23,401,8c:04:ba:7b:78:e7,No,149.171.7.56,l-8d0c6y2.ad.unsw.edu.au,No,,,Up,Down
FastEthernet0/24,"2020-11-02 07:45:54",Fa0/24,401,,,,,,,,Up,Down
FastEthernet0/25,"2020-11-02 07:45:54",Fa0/25,462,,,,,,,,Up,Down
FastEthernet0/26,"2020-11-02 07:45:54",Fa0/26,462,,,,,,,,Up,Down
FastEthernet0/27,"2020-11-02 07:45:54",Fa0/27,462,,,,,,,,Up,Down
FastEthernet0/28,"2020-11-02 07:45:54",Fa0/28,462,,,,,,,,Up,Down
FastEthernet0/29,"2020-11-02 07:45:54",Fa0/29,462,,,,,,,,Up,Down
FastEthernet0/30,"2020-11-02 07:45:54",Fa0/30,462,,,,,,,,Up,Down
FastEthernet0/31,"2020-11-02 07:45:54",Fa0/31,462,,,,,,,,Up,Down
FastEthernet0/32,"2020-11-02 07:45:54",Fa0/32,462,,,,,,,,Up,Down
FastEthernet0/33,"2020-11-02 07:45:54",Fa0/33,462,,,,,,,,Up,Down
FastEthernet0/34,"2020-11-02 07:45:54",Fa0/34,462,,,,,,,,Up,Down
FastEthernet0/35,"2020-11-02 07:45:54",Fa0/35,462,,,,,,,,Up,Down
FastEthernet0/36,"2020-11-02 07:45:54",Fa0/36,462,,,,,,,,Up,Down
FastEthernet0/37,"2020-11-02 07:45:54",Fa0/37,462,,,,,,,,Up,Down
FastEthernet0/38,"2020-11-02 07:45:54",Fa0/38,462,,,,,,,,Up,Down
FastEthernet0/39,"2020-11-02 07:45:54",Fa0/39,462,,,,,,,,Up,Down
FastEthernet0/40,"2020-11-02 07:45:54",Fa0/40,462,,,,,,,,Up,Down
FastEthernet0/41,"2020-11-02 07:45:54",Fa0/41,462,,,,,,,,Up,Down
FastEthernet0/42,"2020-11-02 07:45:54",Fa0/42,462,,,,,,,,Up,Down
FastEthernet0/43,"2020-11-02 07:45:54",Fa0/43,462,,,,,,,,Up,Down
FastEthernet0/44,"2020-11-02 07:45:54",Fa0/44,462,,,,,,,,Up,Down
FastEthernet0/45,"2020-11-02 07:45:54",Fa0/45,462,,,,,,,,Up,Down
FastEthernet0/46,"2020-11-02 07:45:54",Fa0/46,462,,,,,,,,Up,Down
FastEthernet0/47,"2020-11-02 07:45:54",Fa0/47,462,,,,,,,,Up,Down
FastEthernet0/48,"2020-11-02 07:45:54",Fa0/48,462,,,,,,,,Up,Down
GigabitEthernet0/1,"2020-11-02 07:45:58","chanzs1 Gi2/16","1,401,425,462,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet0/2,"2020-11-02 07:45:53",Gi0/2,1,,,,,,,,Down,Down
Null0,"2020-11-02 07:45:05",Nu0,,,,,,,,,Up,Up
Vlan1,"2020-11-02 07:45:55",Vl1,1,,,,,,,,Down,Down
Vlan3300,"2020-11-02 07:45:58",Vl3300,3300,,,,,,,,Up,Up
